Day,Hire_count,temp,feelslike,humidity,precip,dew,windspeed,conditions,Season
01-01-2017,6534,6.5,3.8,90.5,8.97,5.1,20.3,3,1
02-01-2017,11954,3.5,0.9,82.4,2,0.7,15.4,3,1
03-01-2017,19622,2.1,-1,85.5,0,-0.1,20.2,3,1
04-01-2017,22122,5.3,2.5,74.8,0,1,17.6,1,1
05-01-2017,23580,2.6,2.2,78.8,0,-0.8,7.4,1,1
06-01-2017,18973,3.3,1.8,90.8,1,1.8,16.4,3,1
07-01-2017,13879,8.8,7.8,95.7,2.21,8.1,15.6,3,1
08-01-2017,13506,9.1,8.9,93.6,0.2,8.1,7.9,3,1
09-01-2017,38042,8.3,6,91.7,3.39,7,23.5,3,1
10-01-2017,28106,6.6,4.1,83.7,1.99,4.1,17.2,3,1
11-01-2017,28270,8.5,6.4,72.9,0,3.6,27.8,1,1
12-01-2017,17109,5,1.9,81.6,16.97,2.1,24.4,4,1
13-01-2017,20963,3.2,-1.1,75,2.6,-0.9,33.5,4,1
14-01-2017,13766,2.4,-0.9,85.3,0.4,0.2,17.6,3,1
15-01-2017,6752,5.5,3.4,95.2,5.4,4.8,15.9,3,1
16-01-2017,19230,5.3,4.3,88.6,3.41,3.6,8.4,3,1
17-01-2017,27281,3.1,2.7,73.7,0,-1.4,8.2,1,1
18-01-2017,27194,1.4,1.4,72.2,0,-3.4,4.6,1,1
19-01-2017,26826,3.4,2.3,74.8,0,-0.8,12.5,1,1
20-01-2017,25125,3.4,1.3,70.7,0,-1.7,16.7,1,1
21-01-2017,17552,1.9,0,69.9,0,-3.3,15,1,1
22-01-2017,15628,0.7,0.4,88.2,0,-1.1,6.9,1,1
23-01-2017,23280,1.3,0.6,94.9,0.2,0.5,6.4,3,1
24-01-2017,26611,3.9,3.3,89.6,0,2.2,11.5,1,1
25-01-2017,25175,1.4,0,97.2,0,1.1,11.3,1,1
26-01-2017,23831,-0.2,-3.2,82.9,0,-2.7,13,1,1
27-01-2017,23387,3.5,1.5,84.9,0,1.2,17.1,1,1
28-01-2017,17523,7.5,4.9,78.7,0.2,4,22.7,3,1
29-01-2017,9078,6.6,4.1,90.5,4,5.2,19.8,3,1
30-01-2017,24969,7.7,6.3,90.1,9,6.3,15.5,3,1
31-01-2017,22623,6.8,4.3,94.3,0.6,6,17.9,3,1
01-02-2017,23181,10.4,10.1,93.5,7.99,9.4,23.7,3,1
02-02-2017,25601,10.8,10.8,84.9,0.21,8.4,27.6,3,1
03-02-2017,23231,8.8,6.9,79.6,0.82,5.5,37.2,3,1
04-02-2017,17324,5.8,4.7,86.3,1.61,3.6,11.9,3,1
05-02-2017,14570,5.3,3.2,88.5,0.2,3.5,16.6,3,1
06-02-2017,24312,5,3.5,84.8,0,2.6,17.3,1,1
07-02-2017,27156,7.5,6.6,82,6.2,4.4,14.6,3,1
08-02-2017,25770,4.8,2.9,81.7,0,1.9,13.6,1,1
09-02-2017,22900,2.4,-0.7,82.8,0,-0.2,17.3,1,1
10-02-2017,18673,2.1,-1.1,88.4,0.4,0.4,15.7,3,1
11-02-2017,9394,2.1,-1.1,87.7,1,0.3,15.5,4,1
12-02-2017,10272,3.5,0.2,87.3,0.6,1.6,22.1,3,1
13-02-2017,24159,6.1,2.7,81.3,0,3,26.8,1,1
14-02-2017,26649,7.4,5.7,75.9,0,3.5,16.3,1,1
15-02-2017,24330,9.4,8.4,88.6,1.01,7.7,22.5,3,1
16-02-2017,26649,8.8,7.6,82.4,0.2,5.9,18.6,3,1
17-02-2017,25883,9.5,8.5,79.3,0.2,6,15.6,3,1
18-02-2017,21292,8.2,6.9,82.8,0,5.3,13.9,1,1
19-02-2017,19169,8.5,7.4,85.1,0,6.1,18,1,1
20-02-2017,28665,12.6,12.6,84.1,0.2,9.9,27.4,3,1
21-02-2017,28929,11.8,11.8,85.2,0.01,9.4,26.3,3,1
22-02-2017,27290,12.2,12.2,82.6,0,9.3,33.6,1,1
23-02-2017,22520,9.9,8.7,70.1,0.81,4.5,56.4,3,1
24-02-2017,26832,6.4,4.1,64.9,0,0,20.8,1,1
25-02-2017,14132,8.7,6.5,80.7,0.6,5.6,27.9,3,1
26-02-2017,14911,10.6,10.5,84,1.2,7.9,34.2,3,1
27-02-2017,20001,7.4,4.6,86.3,11.78,5.2,29.2,3,1
28-02-2017,24755,5.1,1.8,79.9,1.8,1.7,31.5,3,1
01-03-2017,24746,7.4,4.8,79.4,0.4,4,37.6,3,2
02-03-2017,26938,8,5.3,61,0.4,0.6,39.3,3,2
03-03-2017,22914,8.6,7.4,82.9,2.01,5.9,17.5,3,2
04-03-2017,21546,9.1,7.6,77.7,1.22,5.2,26.9,3,2
05-03-2017,10593,7.4,4.7,79.8,5,4.1,31.6,3,2
